Country,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"United States","USA","National","USAt","Total",0.839,0.843,0.850,0.863,0.866,0.869,0.867,0.864,0.867,0.863,0.845,0.851,0.853,0.857,0.859,0.862,0.866,0.869,0.882,0.888,0.892,0.897,0.898,0.891,0.892,0.894,0.899,0.899,0.899
"United States","USA","Subnat","USAr101","Alabama",0.790,0.796,0.804,0.818,0.823,0.827,0.828,0.826,0.831,0.829,0.813,0.820,0.822,0.827,0.828,0.833,0.836,0.840,0.853,0.859,0.864,0.868,0.870,0.862,0.863,0.865,0.870,0.870,0.870
"United States","USA","Subnat","USAr102","Alaska",0.890,0.892,0.897,0.909,0.910,0.910,0.906,0.901,0.902,0.895,0.875,0.880,0.882,0.885,0.886,0.889,0.892,0.896,0.909,0.914,0.919,0.924,0.925,0.917,0.918,0.921,0.926,0.926,0.926
"United States","USA","Subnat","USAr103","Arizona",0.852,0.854,0.860,0.872,0.874,0.875,0.872,0.868,0.870,0.865,0.845,0.850,0.851,0.854,0.854,0.856,0.859,0.863,0.876,0.881,0.887,0.891,0.893,0.885,0.886,0.888,0.894,0.894,0.894
"United States","USA","Subnat","USAr104","Arkansas",0.782,0.788,0.796,0.810,0.815,0.820,0.821,0.819,0.825,0.823,0.807,0.814,0.816,0.821,0.823,0.827,0.831,0.835,0.848,0.854,0.859,0.864,0.865,0.858,0.858,0.860,0.866,0.866,0.866
"United States","USA","Subnat","USAr105","California",0.848,0.850,0.855,0.865,0.866,0.866,0.863,0.857,0.859,0.852,0.832,0.838,0.840,0.843,0.844,0.848,0.850,0.853,0.865,0.869,0.873,0.878,0.879,0.872,0.872,0.874,0.880,0.880,0.880
"United States","USA","Subnat","USAr106","Colorado",0.895,0.899,0.905,0.918,0.920,0.922,0.919,0.914,0.917,0.911,0.891,0.896,0.896,0.899,0.899,0.902,0.905,0.909,0.923,0.929,0.934,0.939,0.940,0.933,0.933,0.936,0.941,0.941,0.941
"United States","USA","Subnat","USAr107","Connecticut",0.875,0.879,0.886,0.899,0.902,0.904,0.902,0.898,0.902,0.897,0.878,0.884,0.886,0.890,0.892,0.895,0.899,0.902,0.915,0.921,0.926,0.931,0.932,0.924,0.925,0.927,0.933,0.933,0.933
"United States","USA","Subnat","USAr108","Delaware",0.854,0.858,0.865,0.878,0.882,0.884,0.883,0.879,0.883,0.878,0.860,0.865,0.865,0.868,0.867,0.870,0.872,0.876,0.889,0.894,0.898,0.903,0.904,0.897,0.898,0.900,0.905,0.905,0.905
"United States","USA","Subnat","USAr109","District of Columbia",0.871,0.876,0.883,0.897,0.900,0.903,0.901,0.898,0.902,0.897,0.879,0.887,0.890,0.896,0.899,0.904,0.912,0.919,0.937,0.947,0.956,0.961,0.962,0.954,0.955,0.957,0.963,0.963,0.963
"United States","USA","Subnat","USAr110","Florida",0.836,0.840,0.847,0.860,0.863,0.866,0.865,0.861,0.866,0.862,0.843,0.850,0.852,0.856,0.858,0.861,0.864,0.867,0.879,0.884,0.888,0.892,0.893,0.886,0.887,0.889,0.894,0.894,0.894
"United States","USA","Subnat","USAr111","Georgia",0.815,0.821,0.830,0.844,0.849,0.853,0.853,0.851,0.857,0.854,0.837,0.844,0.846,0.850,0.852,0.856,0.858,0.861,0.874,0.879,0.883,0.888,0.889,0.882,0.883,0.885,0.890,0.890,0.890
"United States","USA","Subnat","USAr112","Hawaii",0.858,0.862,0.869,0.882,0.885,0.887,0.885,0.882,0.885,0.881,0.862,0.868,0.870,0.874,0.875,0.879,0.883,0.887,0.901,0.908,0.913,0.918,0.920,0.912,0.913,0.915,0.920,0.920,0.920
"United States","USA","Subnat","USAr113","Idaho",0.852,0.857,0.863,0.876,0.878,0.880,0.878,0.874,0.878,0.873,0.854,0.859,0.859,0.861,0.861,0.863,0.866,0.871,0.884,0.890,0.896,0.901,0.902,0.894,0.895,0.897,0.903,0.903,0.903
"United States","USA","Subnat","USAr114","Illinois",0.846,0.850,0.858,0.871,0.874,0.877,0.876,0.872,0.877,0.872,0.854,0.861,0.863,0.868,0.870,0.875,0.878,0.882,0.895,0.901,0.907,0.912,0.913,0.905,0.906,0.908,0.914,0.914,0.914
"United States","USA","Subnat","USAr115","Indiana",0.830,0.834,0.841,0.855,0.858,0.861,0.860,0.857,0.861,0.857,0.839,0.844,0.845,0.848,0.849,0.852,0.856,0.861,0.874,0.880,0.886,0.891,0.892,0.885,0.886,0.888,0.893,0.893,0.893
"United States","USA","Subnat","USAr116","Iowa",0.849,0.854,0.861,0.874,0.878,0.881,0.879,0.876,0.880,0.876,0.858,0.864,0.866,0.870,0.871,0.874,0.878,0.882,0.895,0.901,0.906,0.911,0.912,0.904,0.905,0.907,0.913,0.913,0.913
"United States","USA","Subnat","USAr117","Kansas",0.866,0.871,0.878,0.891,0.894,0.896,0.894,0.891,0.894,0.889,0.870,0.876,0.876,0.879,0.880,0.882,0.885,0.889,0.902,0.908,0.913,0.918,0.919,0.911,0.912,0.914,0.920,0.920,0.920
"United States","USA","Subnat","USAr118","Kentucky",0.771,0.778,0.787,0.801,0.806,0.811,0.811,0.811,0.816,0.814,0.800,0.807,0.809,0.814,0.817,0.821,0.826,0.832,0.846,0.853,0.860,0.865,0.866,0.858,0.859,0.861,0.867,0.867,0.867
"United States","USA","Subnat","USAr119","Louisiana",0.793,0.798,0.806,0.819,0.824,0.827,0.826,0.824,0.829,0.826,0.810,0.816,0.819,0.824,0.826,0.831,0.834,0.838,0.850,0.855,0.860,0.865,0.866,0.858,0.859,0.861,0.867,0.867,0.867
"United States","USA","Subnat","USAr120","Maine",0.849,0.854,0.862,0.875,0.879,0.882,0.881,0.878,0.883,0.879,0.861,0.867,0.869,0.873,0.875,0.878,0.881,0.885,0.899,0.904,0.909,0.915,0.916,0.908,0.909,0.911,0.917,0.917,0.917
