Country,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"United States","USA","National","USAt","Total",0.894,0.892,0.895,0.897,0.901,0.903,0.907,0.911,0.916,0.922,0.926,0.926,0.927,0.931,0.935,0.939,0.941,0.943,0.942,0.937,0.940,0.941,0.943,0.945,0.948,0.950,0.952,0.954,0.956
"United States","USA","Subnat","USAr101","Alabama",0.855,0.853,0.856,0.858,0.861,0.864,0.867,0.872,0.876,0.880,0.881,0.882,0.885,0.889,0.898,0.902,0.902,0.902,0.901,0.895,0.898,0.900,0.901,0.902,0.902,0.904,0.905,0.908,0.910
"United States","USA","Subnat","USAr102","Alaska",0.956,0.954,0.957,0.959,0.963,0.965,0.969,0.974,0.969,0.967,0.963,0.967,0.971,0.969,0.972,0.975,0.983,0.991,0.992,1.000,0.998,1.000,1.000,1.000,0.995,0.996,0.987,0.990,0.992
"United States","USA","Subnat","USAr103","Arizona",0.869,0.866,0.869,0.871,0.875,0.878,0.881,0.886,0.894,0.902,0.906,0.906,0.907,0.913,0.914,0.922,0.926,0.927,0.920,0.906,0.906,0.908,0.910,0.909,0.910,0.910,0.911,0.913,0.915
"United States","USA","Subnat","USAr104","Arkansas",0.850,0.848,0.851,0.853,0.857,0.859,0.863,0.867,0.868,0.875,0.875,0.874,0.878,0.884,0.890,0.894,0.894,0.893,0.893,0.888,0.893,0.895,0.895,0.899,0.901,0.901,0.902,0.904,0.906
"United States","USA","Subnat","USAr105","California",0.896,0.894,0.897,0.899,0.903,0.905,0.909,0.913,0.920,0.928,0.937,0.935,0.937,0.942,0.949,0.954,0.959,0.961,0.960,0.952,0.954,0.955,0.958,0.961,0.965,0.971,0.974,0.976,0.979
"United States","USA","Subnat","USAr106","Colorado",0.904,0.901,0.905,0.907,0.911,0.913,0.917,0.921,0.932,0.940,0.947,0.947,0.946,0.946,0.945,0.949,0.949,0.952,0.952,0.946,0.946,0.946,0.948,0.951,0.956,0.958,0.958,0.961,0.963
"United States","USA","Subnat","USAr107","Connecticut",0.938,0.936,0.939,0.941,0.945,0.947,0.951,0.956,0.961,0.964,0.974,0.975,0.974,0.975,0.984,0.987,0.990,0.997,0.995,0.988,0.988,0.985,0.985,0.983,0.983,0.987,0.988,0.991,0.993
"United States","USA","Subnat","USAr108","Delaware",0.945,0.942,0.946,0.948,0.952,0.954,0.958,0.963,0.974,0.986,0.992,0.997,0.989,0.990,0.994,0.990,0.991,0.989,0.981,0.985,0.983,0.986,0.982,0.979,0.985,0.987,0.986,0.989,0.991
"United States","USA","Subnat","USAr109","District of Columbia",1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
"United States","USA","Subnat","USAr110","Florida",0.873,0.870,0.873,0.875,0.879,0.882,0.885,0.890,0.896,0.901,0.905,0.907,0.910,0.914,0.917,0.923,0.925,0.925,0.918,0.908,0.909,0.907,0.906,0.908,0.910,0.913,0.914,0.917,0.919
"United States","USA","Subnat","USAr111","Georgia",0.894,0.892,0.895,0.897,0.901,0.903,0.907,0.912,0.919,0.926,0.929,0.928,0.926,0.929,0.934,0.937,0.935,0.934,0.928,0.921,0.922,0.923,0.923,0.925,0.928,0.930,0.933,0.935,0.938
"United States","USA","Subnat","USAr112","Hawaii",0.905,0.902,0.905,0.908,0.911,0.914,0.918,0.922,0.918,0.921,0.925,0.923,0.926,0.932,0.939,0.945,0.946,0.949,0.949,0.943,0.946,0.947,0.947,0.948,0.948,0.951,0.954,0.956,0.958
"United States","USA","Subnat","USAr113","Idaho",0.842,0.840,0.843,0.845,0.848,0.851,0.854,0.859,0.863,0.875,0.888,0.882,0.883,0.886,0.889,0.895,0.899,0.901,0.900,0.892,0.892,0.891,0.891,0.894,0.896,0.898,0.898,0.900,0.902
"United States","USA","Subnat","USAr114","Illinois",0.910,0.908,0.911,0.913,0.917,0.919,0.923,0.928,0.931,0.935,0.940,0.940,0.940,0.942,0.946,0.948,0.952,0.954,0.951,0.947,0.949,0.952,0.955,0.955,0.958,0.960,0.962,0.964,0.966
"United States","USA","Subnat","USAr115","Indiana",0.881,0.878,0.881,0.883,0.887,0.889,0.893,0.898,0.906,0.910,0.914,0.910,0.913,0.918,0.922,0.921,0.923,0.927,0.926,0.915,0.925,0.926,0.926,0.930,0.932,0.933,0.935,0.937,0.940
"United States","USA","Subnat","USAr116","Iowa",0.881,0.878,0.881,0.883,0.887,0.890,0.893,0.898,0.898,0.901,0.908,0.906,0.910,0.916,0.927,0.931,0.932,0.938,0.936,0.932,0.935,0.938,0.943,0.943,0.947,0.950,0.951,0.953,0.955
"United States","USA","Subnat","USAr117","Kansas",0.881,0.879,0.882,0.884,0.888,0.890,0.894,0.899,0.903,0.906,0.909,0.909,0.910,0.913,0.913,0.917,0.924,0.931,0.934,0.927,0.930,0.934,0.935,0.935,0.937,0.940,0.940,0.943,0.945
"United States","USA","Subnat","USAr118","Kentucky",0.872,0.870,0.873,0.875,0.879,0.881,0.885,0.889,0.893,0.896,0.891,0.891,0.894,0.897,0.901,0.904,0.906,0.905,0.905,0.898,0.905,0.907,0.908,0.909,0.909,0.911,0.912,0.915,0.917
"United States","USA","Subnat","USAr119","Louisiana",0.894,0.891,0.895,0.897,0.900,0.903,0.907,0.911,0.914,0.917,0.912,0.914,0.916,0.922,0.927,0.935,0.942,0.936,0.936,0.937,0.944,0.935,0.935,0.929,0.931,0.932,0.930,0.933,0.935
"United States","USA","Subnat","USAr120","Maine",0.862,0.860,0.863,0.865,0.869,0.871,0.875,0.879,0.884,0.890,0.895,0.898,0.900,0.903,0.907,0.907,0.908,0.908,0.907,0.905,0.908,0.906,0.906,0.906,0.908,0.910,0.912,0.914,0.916
"United States","USA","Subnat","USAr121","Maryland",0.898,0.896,0.899,0.901,0.905,0.907,0.911,0.916,0.920,0.925,0.929,0.933,0.936,0.939,0.946,0.950,0.952,0.954,0.955,0.954,0.959,0.961,0.961,0.960,0.961,0.964,0.965,0.968,0.970
"United States","USA","Subnat","USAr122","Massachusetts",0.916,0.913,0.916,0.919,0.923,0.925,0.929,0.933,0.939,0.945,0.957,0.958,0.958,0.962,0.966,0.969,0.971,0.976,0.976,0.972,0.978,0.981,0.983,0.982,0.984,0.989,0.991,0.993,0.996
